ITL level,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UK,UK,United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Other,TLB,England,102.4,102.5,102.6,102.5,102.4,102.2,102.1,102,102,102,102.1,101.9,102,101.9,101.8,101.9,102,102.1,102.4,102.5,102.4,102.5,102.5,102.4
ITL1,TLC,North East,86,84.8,84.2,84.2,84.7,84.1,84.2,84.6,83.3,83,81.4,81.1,83.2,83.9,83.9,84.2,83,82.5,81.3,81.2,81.1,80.2,80.4,81.2
ITL2,TLC1,Tees Valley and Durham,85.5,83.4,83.5,83.3,83.9,83,82.6,83.2,82.6,81.9,80.1,79.5,81.3,82.1,82.3,82.4,80.9,81.1,79.6,79.4,79.4,78.6,78.7,79.7
ITL3,TLC11,Hartlepool and Stockton-on-Tees,86.1,83.7,84.3,83.3,83.7,84.2,83.9,84.5,84.8,84.4,82.6,82.5,83.9,84.5,85.7,85,82.6,82.8,80.7,80.6,80.6,79.4,80,81.6
ITL3,TLC12,South Teesside,83.3,78.5,79.3,79.5,80.3,78.7,78.3,78.7,78.7,78.8,76.3,75.9,79,78.7,79.3,80.9,79.2,80,78.2,77.6,77.2,77,76.9,78.3
ITL3,TLC13,Darlington,89.2,86.2,84.2,86.5,90,88.3,88.1,87.2,85.7,83.8,84.1,82,83.9,84,82.3,82.6,82.3,81.1,80.6,82.7,84.5,83,82.7,84.5
ITL3,TLC14,Durham CC,85.7,85.4,85.2,84.8,84.8,83.8,83.2,84.2,82.8,81.9,79.9,79.3,80.6,82.3,82.1,81.7,80.7,80.7,79.5,79,78.9,78.2,78.1,78.5
ITL2,TLC2,Northumberland and Tyne and Wear,86.4,85.9,84.8,84.9,85.3,85,85.5,85.8,84,83.9,82.4,82.3,84.7,85.3,85.2,85.8,84.6,83.7,82.7,82.7,82.6,81.5,81.8,82.5
ITL3,TLC21,Northumberland,95.4,94.3,94.9,95.5,95.7,94.8,96.4,95.8,94.2,96.1,94,97,101.1,100,99.6,99.4,98.5,97.4,96,96.6,96.7,95.2,94.9,94.6
ITL3,TLC22,Tyneside,85.6,85.9,83.4,83.2,83.9,83.6,83.9,84.7,82,81.4,80,78.9,80.9,82,81.8,82.7,81.3,80.6,80,79.4,79,78.4,79,80
ITL3,TLC23,Sunderland,79.2,76.9,77.6,78.4,78.4,78.5,78.4,78,78.2,77.5,76.7,75.9,77,78.2,79,79.4,78.9,77.3,75.6,77,77.3,75.4,75.3,76
ITL1,TLD,North West,90.7,90.2,90.8,90.2,89.8,90.1,90.4,90.1,89.8,89.1,88.5,87.7,89.3,89.3,89.2,88.7,88.1,87.7,87.3,86.8,87.3,87,87.2,88.2
ITL2,TLD1,Cumbria,92.5,94.1,92.7,91.2,93.7,92.8,94.6,95,94.7,94.6,94.3,93.5,95.9,97.7,97,97.9,97.4,97.1,96.4,95.7,95.9,94.5,94.4,94.4
ITL3,TLD11,West Cumbria,83.5,85,83.7,84.4,85.9,83.6,85,86.2,85.3,86,87.5,86.6,88.2,89.9,89.9,91.6,90.2,89.7,89.5,89.4,89.3,87.6,87.6,88.4
ITL3,TLD12,East Cumbria,100.9,102.6,101.3,97.5,100.9,101.4,103.4,103.1,103.1,102.4,100.4,99.6,102.8,104.7,103.3,103.5,103.8,103.5,102.5,101.3,101.6,100.6,100.4,99.5
ITL2,TLD3,Greater Manchester,89.1,88.4,90,89.5,88.7,88.6,88,87.4,86.9,86.3,85.4,84.2,85.2,85,85,84.6,83.9,83.5,83,82.5,83,82.9,83.2,84.7
ITL3,TLD33,Manchester,66.8,67.9,70.8,70.1,70.4,71.7,70.5,70.1,70.5,69.8,68.8,68.2,70.3,70,70.4,69.4,69.2,68.8,68.9,68.8,70.8,71.4,71.5,74.1
ITL3,TLD34,Greater Manchester South West,110.6,109.3,110.3,110,108.2,108,107.2,106.5,105.7,104.3,102.8,101.2,100.9,99.8,99.6,98.5,97,96,98.2,97.3,96.7,96.5,97,98.3
ITL3,TLD35,Greater Manchester South East,91.4,90.5,92.9,92.8,91.1,91.2,91.7,89.8,89.8,89.6,89,88.1,90.3,90.8,91.3,90.8,90.2,90.7,90.5,91.6,91.8,91.8,92.3,93.3
ITL3,TLD36,Greater Manchester North West,92.3,90.9,91.8,91.2,90.6,89.8,89.4,89.2,88.2,87.7,86.9,85.2,85.6,85.5,85.2,85,84.1,82.8,80,78.8,80.2,79.5,79.4,80.5
ITL3,TLD37,Greater Manchester North East,84.2,83.5,84.8,84.3,84,83.7,82.7,82.9,82.2,81.9,81.3,80.1,81,81,80.8,81.2,81,80.9,80,79.1,78.5,78.4,79.1,80.5
ITL2,TLD4,Lancashire,88.4,87.5,87,87,87.1,86.6,86.7,86.3,86.5,85.8,85.4,85.3,87.2,87.1,87.4,85.8,84.7,84.4,83.9,84,84.4,83.6,84.1,84.6
ITL3,TLD41,Blackburn with Darwen,78.3,76.9,77.9,74.3,73.6,71.4,72.3,71.6,72.8,72.2,70.2,68.2,68.5,70.2,69.1,67.4,65.8,66.2,64.7,64.7,66.3,67.2,68.2,69.7
ITL3,TLD42,Blackpool,88.7,87.9,85.5,87.3,85.4,84.3,80.7,79,77.3,75.9,76,75.7,77.7,78.4,80.1,77.7,76.6,76.6,75.8,76.9,77.9,76.6,77.3,79.3
